Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
1. Cadena perpetua,1994,2h 22m,13,"9,3","Andy Dufresne es encarcelado por matar a su esposa y al amante de esta. Tras una dura adaptación, intenta mejorar las condiciones de la prisión y dar esperanza a sus compañeros.",Tim Robbins,"1994, 2h 22min, 13, Drama, Frank Darabont, Tim Robbins, Morgan Freeman, Bob Gunton","https://m.media-amazon.com/images/M/MV5BMTA1MjE0Nzk4MDleQTJeQWpwZ15BbWU4MDA0NjIxMjAx._V1_QL75_UY207_CR6,0,140,207_.jpg"
2. El padrino,1972,2h 55m,18,"9,2",El envejecido patriarca de una dinastía del crimen organizado en la ciudad de Nueva York de la posguerra transfiere el control de su imperio clandestino a su reacio hijo menor.,Marlon Brando,"1972, 2h 55min, 18, Crimen, Drama, Francis Ford Coppola, Marlon Brando, Al Pacino, James Caan","https://m.media-amazon.com/images/M/MV5BMGNkYzY2ZjUtODU4My00Mjc5LWEwNDAtMzUxZjcxZWJhZTcwXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
3. El caballero oscuro,2008,2h 32m,13,"9,0","Cuando la amenaza conocida como el Joker causa estragos y el caos en Gotham City, Batman debe aceptar una de las mayores pruebas psicológicas y físicas para luchar contra la injusticia.",Christian Bale,"2008, 2h 32min, 13, Acción, Crimen, Drama, Christopher Nolan, Christian Bale, Heath Ledger, Aaron Eckhart","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
4. El padrino parte II,1974,3h 22m,18,"9,0","Se retratan los inicios de la vida y la carrera de Vito Corleone en el Nueva York de los años 20, mientras su hijo, Michael, amplía y refuerza su control sobre el sindicato del crimen familiar.",Al Pacino,"1974, 3h 22min, 18, Crimen, Drama, Francis Ford Coppola, Al Pacino, Robert De Niro, Robert Duvall","https://m.media-amazon.com/images/M/MV5BODBkMzlhNDEtYjc2Mi00ZTU0LTk5YjktYmI3MTJiODQ3YmMyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY207_CR10,0,140,207_.jpg"
5. 12 hombres sin piedad,1957,1h 36m,A,"9,0",Un miembro del jurado trata de evitar un error judicial obligando al resto del jurado a reconsiderar las pruebas.,Henry Fonda,"1957, 1h 36min, A, Crimen, Drama, Sidney Lumet, Henry Fonda, Lee J. Cobb, Martin Balsam","https://m.media-amazon.com/images/M/MV5BYjViOWI2MTctYjRkNi00NWRhLTlhYjQtYjVmNDc1YmU3ZGM4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
6. La lista de Schindler,1993,3h 15m,13,"9,0","En la Polonia ocupada por los alemanes durante la Segunda Guerra Mundial, el industrial Oskar Schindler se preocupa por sus trabajadores judíos tras presenciar su persecución por los nazis.",Liam Neeson,"1993, 3h 15min, 13, Biografía, Drama, Historia, Steven Spielberg, Liam Neeson, Ralph Fiennes, Ben Kingsley","https://m.media-amazon.com/images/M/MV5BZDI1MDA5NDktNjc5Ny00MmQ4LThmODYtYTg1YmFjNThiNWVhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
7. El señor de los anillos: El retorno del rey,2003,3h 21m,13,"9,0","Gandalf y Aragorn lideran el mundo de los hombres contra la armada de Sauron para distraer su atención de Frodo y Sam, quienes se aproximan al Monte del Destino con el Anillo Único.",Elijah Wood,"2003, 3h 21min, 13, Acción, Aventura, Drama, Peter Jackson, Elijah Wood, Viggo Mortensen, Ian McKellen","https://m.media-amazon.com/images/M/MV5BNGJjODMxZGMtOTFlNC00MjI4LThiZWUtZTU3ZGIxYzcxMTBiXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR7,0,140,207_.jpg"
8. Pulp Fiction,1994,2h 34m,18,"8,9","Las vidas de dos mafiosos, un boxeador, la esposa de un gánster y un par de bandidos se entrelazan en cuatro historias de violencia y redención.",John Travolta,"1994, 2h 34min, 18, Crimen, Drama, Quentin Tarantino, John Travolta, Uma Thurman, Samuel L. Jackson","https://m.media-amazon.com/images/M/MV5BYzFkMzk5YTEtNGZjMC00ZjU0LWFlZjUtZjJjOTRiZmUxODAxXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR5,0,140,207_.jpg"
9. El señor de los anillos: La comunidad del anillo,2001,2h 58m,12,"8,9",Un hobbit de la Comarca y ocho compañeros emprenden un viaje para destruir el poderoso Anillo Único y salvar la Tierra Media del Señor Oscuro Sauron.,Elijah Wood,"2001, 2h 58min, 12, Acción, Aventura, Drama, Peter Jackson, Elijah Wood, Ian McKellen, Orlando Bloom","https://m.media-amazon.com/images/M/MV5BMzgyNjdjOWMtMjAyYy00NzQ4LWIwYTQtZDk2ZDQzYWVlN2IwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
"10. El bueno, el feo y el malo",1966,3h 2m,14,"8,8","Durante la guerra de Secesión, tres cazarrecompensas se lanzan a la búsqueda de un tesoro que ninguno puede localizar sin la ayuda de los otros dos.",Clint Eastwood,"1966, 3h 2min, 14, Aventura, Drama, Del oeste, Sergio Leone, Clint Eastwood, Eli Wallach, Lee Van Cleef","https://m.media-amazon.com/images/M/MV5BNzEzNWJiOTctOGIyYi00Y2QyLTgxYjItMWU5ZDIzYTUyYzJkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
